Question,compLower,filename,hasQuestion,newWord1,newWord2,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex
,de economie,nonNat_154_related,0,,,6.155,5.543,5.695,experiment,related,154,nonNat,6.826,21,219,het geluk,0.152,0.671,0.46,,170
,de airco,Nat_90_unrelated,0,,,3.899,3.322,3.502,experiment,unrelated,90,Nat,4.302,12,129,het ventiel,0.18,0.403,0.397,,171
Heeft deze zin iets te maken met hengelsport?,het net,Nat_89_unrelated,1,,,3.607,2.987,3.134,experiment,unrelated,89,Nat,4.8,12,129,de sloot,0.147,1.193,0.473,0.0,172
Laat de juwelier de sieraden 's nachts in de etalage liggen?,de kluis,Nat_44_related,1,,,3.142,2.657,2.805,experiment,related,44,Nat,4.223,11,119,het doosje,0.148,1.081,0.337,1.0,173
,het bos,nonNat_25_unrelated,0,,,4.118,3.441,3.606,experiment,unrelated,25,nonNat,5.767,22,229,de straat,0.165,1.649,0.512,,174
,de dierenarts,nonNat_152_unrelated,0,,,2.553,2.026,2.199,experiment,unrelated,152,nonNat,3.223,22,229,het asiel,0.173,0.67,0.354,,175
Was het druk op de weg naar Zandvoort?,het strand,nonNat_144_related,1,,,5.223,4.677,4.773,experiment,related,144,nonNat,5.935,21,219,de zee,0.096,0.712,0.45,0.0,176
Kijken de ouders elke avond het achtuurjournaal?,het journaal,Nat_33_unrelated,1,,,4.673,3.857,3.989,experiment,unrelated,33,Nat,7.072,12,129,de nieuwsberichten,0.132,2.399,0.684,1.0,177
Is het goed om geld op de bank te zetten?,de bank,Nat_148_unrelated,1,,,3.804,3.339,3.43,experiment,unrelated,148,Nat,4.139,12,129,het matras,0.091,0.335,0.374,0.0,178
,,nonNat_349_control,0,horeca,leeftijdsgrens,0.77,0.065,0.152,experiment,control,349,nonNat,6.469,55,155,,0.087,5.699,0.618,,179
